mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1061890000000,3403050000,3403050000,38487900,6811600000,1275640000,293270000000000,61334500000,37533800000000,83353600000
0,423706000000,913355000,853272000,3965670,10355000,684691000,293060000000000,13108600000,30062100000000,983664000
560657000,858347000000,17822400,0,209819000,0,7368350000,293000000000000,53703700000,37556100000000,0
0,1131300000000,35122200,0,13009500,0,1123730000,292970000000000,84943600000,40026500000000,0
0,1144630000000,215813000000,209096000000,30.8834,9615140000,865.695,292900000000000,33127900000,34014700000000,111623000000
8527840000,262721000000,2712230000,2670200000,18159800,4695310,2340570000,292880000000000,9268780000,28449200000000,217751000
0,1008330000000,4478420000,4472840000,9636030,5314020000,712954000,292870000000000,45870200000,34195000000000,63516900000
0,460002000000,547038000,451771000,13960100,1808820,1539650000,292820000000000,19763000000,27301300000000,268635000
0,895277000000,9293440000,9291160000,335974,6163050000,24467000,292720000000000,35808500000,35303200000000,69032900000
0,693947000000,233987,0,52870300,6152480000,5834960000,292640000000000,42086600000,31745200000000,70489900000
0,619987000000,3293270000,3293270000,2770790,968705000,248347000,292570000000000,27384300000,20954000000000,15678800000
0,805412000000,4622100000,4603210000,1699110,8121330000,76877100,292460000000000,48964000000,34969400000000,89940700000
0,641298000000,2934280000,2929280000,79377600,532116000,3084210000,292380000000000,19884700000,35046800000000,11457600000
0,976112000000,12309600000,12265700000,0,6805050000,0,292340000000000,36637900000,25055000000000,67250500000
0,816648000000,3394970000,3124630000,709039,2398630000,164937000,292340000000000,41430900000,3604810000000,27102900000
0,719388000000,35416200,0,164823000,0,8498170000,292130000000000,31356400000,35717500000000,0
0,1049910000000,3017470,0,200497000,0,7507810000,292090000000000,75364600000,39782300000000,0
0,1156530000000,0,0,3736860,2848500000,345678000,292060000000000,56951400000,33360300000000,28870200000
0,1613630000000,23519000,0,8560540,27213100000,991978000,291780000000000,124378000000,38326600000000,272468000000
0,698637000000,852662000,852094000,392885000,10663000000,11141500000,291740000000000,28711900000,27213400000000,102614000000
0,1162930000000,5448830000,5382090000,3887320,1668400000,244486000,291670000000000,65011700000,20725700000000,23649400000
25556800000,677730000000,6351590000,6349310000,60399600,1261610000,2419480000,291670000000000,17312900000,28099200000000,33917600000
0,584153000000,12133100,0,71581900,0,4536960000,291650000000000,32434600000,30076000000000,0
0,638322000000,15059000,0,114810000,4385700000,6624450000,291630000000000,40430700000,30488400000000,59207000000
0,791936000000,2279660,0,248155000,0,10552700000,291530000000000,29223300000,27940000000000,0
0,755519000000,896567000,880085000,6798790,10693200000,899166000,291500000000000,35010700000,23823700000000,108980000000
0,928215000000,1505070000,1481230000,3686860,12969800,560214000,291490000000000,45841600000,40306100000000,523051000
0,1195640000000,2159560000,1245330000,60174400,6856570000,2135550000,291450000000000,88843500000,40038900000000,100060000000
2025900,363614000000,2601900000,2590020000,4884990,38103200,907230000,291370000000000,12598400000,35261400000000,1484330000
0,786653000000,5789840,0,401135000,6376070000,21498900000,291360000000000,44562000000,36859300000000,80493000000
0,711460000000,1879080000,1365660000,70710600,2304700,3466590000,291340000000000,25857800000,32403400000000,156076000
0,1024160000000,0,0,103433000,5589090000,3872690000,291320000000000,83516300000,38585500000000,94093400000
0,738085000000,26759800,0,17536200,845617000,2333970000,291260000000000,37779900000,32245900000000,10681800000
0,1405950000000,5411710000,5411710000,9960240,6279450000,839447000,291230000000000,90434400000,41846900000000,84044300000
0,1482920000000,16776200,0,343577000,9256060000,11277300000,291190000000000,142272000000,39885900000000,148129000000
0,1371490000000,6622220000,6551200000,7455370,18115100000,461543000,291140000000000,69315400000,33875000000000,169511000000
0,899431000000,1823690000,1823650000,1620930,95346600,100262000,291000000000000,34091300000,31064300000000,4040600000
0,714741000000,7911740000,7906330000,0,62430000,0,290990000000000,29451500000,30166200000000,2515650000
0,1031500000000,5662370000,5662370000,0,6178710000,0,290920000000000,62099200000,37235300000000,91799400000
0,612319000000,6371300,0,5887000,0,862166000,290880000000000,28286100000,30134000000000,0
0,1151160000000,303609000,0,59023400,9582380000,4131370000,290850000000000,60310100000,37224100000000,116876000000
0,1391480000000,44745100,0,10058000,0,776370000,290840000000000,75739500000,39605200000000,0
0,452994000000,13775900,0,11962300,0,1099580000,290490000000000,26286600000,35402700000000,0
0,721107000000,7885290,0,109937000,696800000,7020360000,290480000000000,38221900000,27391900000000,6886580000
0,458692000000,1075550000,1068630000,2806100,164666000,398404000,290370000000000,13326500000,20222400000000,4240150000
0,564828000000,1123570,0,13572600,0,913525000,290360000000000,19796000000,25384800000000,0
0,791144000000,3495310000,3484900000,206557000,184499000,5548330000,290350000000000,38099000000,30822900000000,5276380000
51816300000,709682000000,9752550000,0,2150870000,1324620000,49649300000,290260000000000,40482500000,32580300000000,10406700000
0,1218390000000,574186,0,50088500,7600720000,3064130000,290230000000000,80396100000,34743700000000,94075400000
0,1106900000000,0,0,63275700,0,1623620000,290070000000000,57059600000,36747700000000,0
0,788256000000,1855330000,1851440000,76688100,22640500,3201300000,290060000000000,31158500000,33739300000000,1328050000
0,754347000000,213495000,204581000,2831680,1105410000,362588000,290040000000000,31543700000,36474300000000,14826400000
648891000,1026780000000,181126000,0,23196000,7645670000,1088830000,289920000000000,42072500000,34910000000000,62657700000
0,616318000000,0,0,194676000,0,8727460000,289740000000000,19915300000,32055400000000,0
0,783518000000,11449400,0,4734040,3813800000,371223000,289720000000000,44880900000,35250300000000,38069400000
0,1288080000000,502395000,501564000,0,7650850000,0,289700000000000,62014200000,37810100000000,74422700000
0,1042600000000,6151240,0,39631900,4449530000,2591000000,289650000000000,52995900000,36369600000000,37111500000
0,1058390000000,771770000,771770000,38245.6,10097200000,54131800,289630000000000,69199000000,36264100000000,106808000000
0,1062520000000,490653,0,103520000,0,5608050000,289610000000000,59748500000,37391500000000,0
0,530581000000,0,0,69534700,230487000,5791450000,289590000000000,36599800000,38097400000000,4284260000
0,886360000000,3850790000,3839670000,1420460,2225130,262351000,289520000000000,64566900000,39753300000000,131916000
0,867482000000,725862,0,14458400,0,781330000,289450000000000,54411000000,39927000000000,0
0,879073000000,218124000,203923000,0,8742070000,0,289390000000000,48515500000,27268900000000,101115000000
0,598292000000,2864900000,2864620000,0,2044450000,0,289250000000000,27389800000,29251100000000,25644200000
