mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1132400000000,112631000,93753000,16420200,0,2102980000,437830000000000,47265800000,46018300000000,0
0,1489090000000,0,0,24350100,8666430000,1508110000,437740000000000,132172000000,59249900000000,106429000000
0,996581000000,22780700,0,28914100,0,2598260000,437730000000000,44948500000,47522900000000,0
0,1421940000000,241601,0,39318200,0,4090730000,437510000000000,113680000000,55896900000000,0
0,1224850000000,3126760,0,266965000,9858050000,9955380000,437460000000000,64401700000,53263900000000,78933700000
0,992660000000,2043640,0,309745,142177000,39119100,437380000000000,82756500000,55374400000000,5575540000
0,1298510000000,2827230000,2752320000,16891900,9382990000,1123700000,437290000000000,53595800000,25680800000000,107886000000
0,1231300000000,1710310,0,796420000,25215600000,9541580000,437130000000000,88451900000,47174200000000,202786000000
0,1125850000000,8755240000,8752750000,114311,1400930000,32056900,437070000000000,42464600000,52757100000000,23494900000
0,1281040000000,286450000,279241000,0,2310820000,0,436880000000000,64236700000,48870800000000,27918900000
0,1416100000000,380049000,380049000,0,6938750000,0,436620000000000,131647000000,44833300000000,104982000000
0,238231000000,23606200,0,55146700,428139000,2721580000,436400000000000,5088570000,34979800000000,3978280000
0,1491840000000,3819920,0,156798000,1893490000,7250040000,436390000000000,118054000000,48329800000000,16118900000
0,1376250000000,26378700,0,52768800,7826750000,2502350000,436240000000000,125790000000,54576600000000,78138300000
0,954253000000,1282490000,1186390000,24685600,8280070,2141390000,436040000000000,48856800000,33583900000000,728959000
0,1461850000000,0,0,511034000,19312600000,19352100000,436000000000000,235506000000,60774600000000,242133000000
0,1285060000000,1745660000,1519380000,5919250,15243200000,507435000,435880000000000,114324000000,49695400000000,185710000000
0,1406100000000,16408100,0,84475000,0,3462410000,435700000000000,109988000000,54832700000000,0
0,1131800000000,126442000,97214400,11960200,2553160000,858587000,435590000000000,45056400000,44224100000000,25767200000
